ranks,N,total_s,pivot_s,swap_s,bcast_s,update_s,solve_s
1,1024,0.890398,0.002217,0.000030,0.000782,0.884942,0.001796
2,1024,0.635584,0.366748,0.000031,0.006957,0.624272,0.001965
4,1024,0.347920,0.275034,0.000031,0.008944,0.335208,0.002312
8,1024,0.192204,0.165299,0.000031,0.012975,0.173798,0.002421
16,1024,0.126081,0.094179,0.000034,0.027173,0.087380,0.002658
